,0,1
13,Chương trình giảm giá chỉ áp dụng mua online thôi phải không,Dạ em chào anh. Dạ với khuyến mãi Giảm ngay 2 triệu (đã trừ vào giá) thì mình mua trực tiếp ở siêu thị vẫn được anh nha. Nếu anh muốn mua sản phẩm thì Anh vui lòng cho em xin thêm thông tin khu vực mình sống để bên em hỗ trợ kiểm tra hàng cho mình nha.  Mong phản hồi từ anh.
14,"hapric touch là gì v , có giống 3d touch ko","Chào anh! Dạ Haptic Touch cũng tương tự như 3D Touch, tuy nhiên không làm được nhiều điều như 3D Touch. Về cơ bản khi anh chạm vào 1 biểu tượng trong thời gian lâu hơn, nó sẽ hiển thị thêm một menu tùy chọn bên cạnh, đồng thời máy cũng rung lên. Xin thông tin đến anh."
15,Cho em hỏi loa ip xr có 1 bên hay 2 bên,Chào anh. Trường hợp này điện thoại iPhone Xr có loa trên và dưới cùng phát nhạc anh nha Thông tin đến anh!
16,Con này có chơi đc pupg MOBILE ko,Chào anh! Dạ hiện tại sản phẩm Điện thoại iPhone Xr 64GB bên em có thể đáp ứng được game PUBG MOBILE ở mức cấu hình cao ạ. Nếu anh quan tâm vui lòng cho em xin số điện thoại để bên em có thể đặt hàng online nhanh chóng giúp mình được ạ. Mong nhận được phản hồi từ anh.
17,Cho hỏi xr và x hiệu năng máy nào nỗ hơn vậy,Chào anh ! Dạ với trường hợp này con chip Apple A12 Bionic trên iPhone Xr sẽ mạnh hơn con chip Apple A11 Bionic trên iPhone X anh nhé. Thông tin đến anh.
18,Góp 6 tháng trả trước 20% là lãi suất bao nhiu z bạn,"Chào anh Dạ anh có thể tham khảo gói trả góp bên công ty tài chính Home Credit, anh muốn trả trước khoảng 3.598.000₫ (20%) góp trong vòng 6 tháng, góp mỗi tháng 2.970.500₫ với lãi suất 3.30%, cùng giấy tờ CMND và Bằng lái xe / hộ khẩu nha. Nếu được cho em xin số điện thoại để bên em hỗ trợ làm hồ sơ online giúp mình ạ. Mong nhận phản hồi từ anh"
19,Điện thoại em cứ bị quảng cáo vs như này là sao ạ có cách nào để không bị nữa không ạ,Chào chị ! Dạ trường hợp này chị thử lắp vào máy sim khác xem có còn thông báo không ạ. Xin thông tin đến chị.
20,Giá 17tr máy mới ak,"Chào anh. Dạ sản phẩm Điện thoại iPhone Xr 64GB này bên em kinh doanh là máy mới chính hãng, nguyên seal anh nha. Và sản phẩm này hiện tại bên em đang có chương trình khuyến mãi Giảm ngay 2 triệu (đã trừ vào giá) nên giá chỉ còn lại 17.990.000đ anh nhé, nếu quan tâm sản phẩm anh cho em xin số điện thoại để bên em hỗ trợ anh ạ. Mong nhận phản hồi từ anh."
21,So sanh dum mih con xr va ipX. Tai sao con xr kiêu nó k bằng mây con khác v,"Chào anh,  - Với iPhone X, máy được trang bị cụm camera kép với độ phân giải là 12 MP và camera trước 7 MP chụp ảnh khá là chân thật, sắc nét. Nhưng được thiết kế dọc theo thân máy. Nhưng về công nghệ màn hình OLED cho màu sắc sống động và rực rỡ hơn. Độ phân giải 1125 x 2436 Pixels, màn hình rộng 5.8"" cầm khá là vừa tay. Ngoài ra màn hình tai thỏ thời thượng cùng mặt kính oleophobic (ion cường lực). Dung lượng pin 2716 mAh hỗ trợ tiết kiệm pin, sạc pin nhanh, sạc pin không dây. Ngoài ra bảo... Xem tiếp ▾"
22,Anh ơi dán màn mình bên mình dán là bao nhiêu tiền ạ,Dạ chào anh Bên em có kinh doanh sản phẩm miếng dán màn hình chống trầy xước tối ưu với sản phẩm iPhone XR anh nha với giá mua lần đầu là 50.000đ và từ lần mua thứ 2 trở đi chỉ mua với giá 15.000đ thôi anh nhé. Anh có thể mang máy đến siêu thị gần nhất để mua miếng dán cũng như để bên em hỗ trợ mình dán anh nhé. Thông tin đến anh
23,Lúc tức e có mua iPhone x mất Seal của tgdd chi mất Seal chưa active giá rẻ hơn,"Chào anh  Dạ. Em chưa nhận được bình luận trước đó của mình, nên chưa hiểu rõ ý mình lắm ạ. Mong anh phản hồi rõ hơn để bên em hỗ trợ giúp anh ạ."
24,IPhone xr mất seal 64gb co k ad,"Chào anh Dạ trường hợp này anh đang có nhu cầu mua hàng sản phẩm mới hay sản phẩm đổi trả, đã qua sử dụng ạ? Mong nhận được phản hồi từ anh."
25,Nắp lưng bằng kính hay bằng nhựa vậy sop,Chào anh! Dạ theo như em kiểm tra thì mặt lưng của máy được làm bằng kính cao cấp không phải bằng nhựa anh nhé. Thông tin đến anh!
26,Mình ở quận 7 vậy có chi nhánh nào bán sản phẩm này ko ạ,"Chào anh Dạ sản phẩm đang có màu trắng tại 311 Huỳnh Tấn Phát, P.Tân Thuận Đông, Q.7, TP.HCM. Nếu anh quan tâm sản phẩm thì có thể ra siêu thị mua hàng hoặc cho em số điện thoại để bên em đặt hàng giúp anh nha Mong nhận được phản hồi từ anh."
27,Có ai đang dùng ip xr ios 12.3.1 gặp tình trạng khi có thông báo fb mà không có âm thanh không mặc dù đã cài đặt bật âm thanh và xoá đi tải lại nhiều lần nhưng vẫn không được,Chào anh. Dạ theo em kiểm tra anh vào cài đặt - thông báo - chọn ứng dụng facebook - bật các thông báo cho ứng dụng lên anh nhé. anh kiểm lại lại âm thanh và máy có ở chế độ không làm phiền hay rung không ạ Thông tin đến anh
28,Máy được bán ở toàn bộ chi nhánh cửa hàng tgdd phải ko,Chào anh Dạ còn tùy từng khu vực mà còn hàng không ạ. Nếu anh quan tâm đến sản phẩm thì anh có thể cung cấp cho em thông tin khu vực anh đang sống để em kiểm tra hàng giúp anh được không ạ?  Mong nhận được phản hồi từ anh.
29,Camera chống rung ko ạ,Chào anh! Dạ với trường hợp này em kiểm tra thì máy có hỗ trợ Chế độ chống rung quang học OIS anh nhé. Xin thông tin đến anh.
30,Nhu cầu của em là chơi game chon con này ổn không ạ,Chào anh! Dạ với trường hợp này sản phẩm trên có cấu hình khá mạnh và đáp ứng tốt nhu cầu chơi game anh nhé. Thân chào anh !
31,Anh choi em biết con cHip samsung 675 và oppo chip 855 nào mạnh nhất,Chào anh! Dạ với trường hợp này theo em tìm hiểu thì chip snapdragon 855 có hiệu năng manh hơn chip snapdrgon 675 anh nhé. Thân chào anh !
32,Cho minh hoi con chip oppo va chip samsung máy nào mạnh nhất,Chào anh ! Dạ với trường hợp này anh vui lòng cung cấp thêm thông tin về model máy anh đang muốn so sánh để bên em có thể kiểm tra và hỗ trợ cho anh 1 cách tốt nhất anh nhé  Thông tin đến anh.
33,"cho mình hỏi Thegioididong ở Mỹ Phước 1 có sẵn con Iphone XR 64g màu trắng k vậy, giá bây giờ 17.990 hả bạn.","Chào anh Dạ sản phẩm đang có giá ưu đãi 17.990.000₫ ạ và sản phẩm đang có màu trắng tại  Số 97C, đường 30 tháng 4, Khu phố 1, P.Mỹ Phước, TX.Bến Cát, T.Bình Dương Lô CC1, Khu TMDV và Tái định cư Mỹ Phước, P. Mỹ Phước, TX. Bến Cát, T. Bình Dương  175/6 Quốc Lộ 13, KP. 02, P. Tân Định, TX. Bến Cát, T. Bình Dương Nếu anh quan tâm sản phẩm thì có thể ra siêu thị mua hàng hoặc cho em số điện thoại để bên em đặt hàng giúp anh nha Mong nhận được phản hồi từ anh."
34,"Xin cho mình hỏi là lúc trước mình mua iPhone 6s plus 32gb với giá tại tgdd là 9.990.000đ mua máy ngày 5/12/2018 .Bây giờ mình bán lại và đổi iPhone xr 64gb trả góp đưa trước 40% và góp trong 9 tháng dc ko vậy, xin cảm ơn","Chào anh! Dạ hiện tại bên em hỗ trợ thu lại sản phẩm của anh với giá khoảng 4,995,000đ ạ.Tuy nhiên đây chỉ là mức giá tham khảo anh vui lòng mang sản phẩm và phụ kiện kèm theo ra siêu thị gần nhất để được nhân viên kiểm tra giúp mình ạ. Nếu anh muốn trả góp bên em thì anh cần đủ từ 20 tuổi đến đủ 60 tuổi và có các giấy tờ gồm CMND và sổ Hộ khẩu, nếu có thêm Hóa đơn điện sẽ được ưu đãi thêm lãi suất anh nhé. Nếu đủ các điều kiện trên anh vui lòng cho em biết mình muốn trả góp trong vòng bao lâu... Xem tiếp ▾"
35,em mới mua 7+ ở tgdd tháng 4 vừa rồi giờ em muốn đổi sang XR cần như thế nào ạ,"Chào anh  Dạ nếu anh mua sản phẩm mới bên em, máy còn bảo hành và không có lỗi từ người dùng thì bên em mới hỗ trợ thu lại giúp anh được ạ, anh vui lòng cho em xin thông tin ngày, tháng, năm mua sản phẩm và giá của sản phẩm khi mua để em hỗ trợ tính phí giúp anh nha.  Mong nhận phản hồi từ anh"
36,cho em hỏi là có mấy sim ạ,"Chào anh  Dạ,  iện thoại iPhone Xr 64GB hỗ trwoj 2 sim là Nano SIM & eSIM đó anh. Nếu quan tâm sản phẩm bên em anh vui lòng cho em xin số điện thoại, bên em sẽ hỗ trợ đặt hàng và chuyển hàng cho anh ạ  Thông tin đến anh"
37,Cái này có chức năng làm hình nền động màn hình khoá k,"Chào chị! Dạ theo như em kiểm tra đặt ảnh nền động mặc định có sẵn trong máy được , còn ảnh livephoto thêm ngoài không đặt được và không có 3D Touch chị nhé. Thông tin đến chị!"
38,Em 19t có thể trả góp đc hông ạ e có sổ hộ khẩu + CMND bản gốc ạ,"Chào anh !  Dạ về trường hợp của anh, anh giúp em liên hệ với người thân đủ 20 - 60 tuổi để làm hồ sơ mua trả góp giúp anh, anh nhé.   Thông tin đến anh !"
39,Khi nào hết chương trình giảm giá 2 triệu ạ,"Chào chị !  Dạ bên em không có thông tin chính xác khi nào hết khuyến mãi này chị nha, thường thì cuối tháng bên em sẽ cập nhật lại các khuyến mãi đó ạ, nếu chị quan tâm sản phẩm bên em chị giúp em mua sớm để được hưởng khuyến mãi chị nhé. Thông tin đến chị !"
40,Còn này và note 9 con nào ngon hơn so sánh dùm ad,"Chào anh! Xin lỗi đã để anh chờ lâu! Dạ trường hợp này cả 2 con đều rất ngon nên tùy vào nhu cầu cũng như sở thích của anh về hệ điều hành anh nhé. Nếu anh thích màn hình lớn hơn, đẹp hơn với độ phân giải cao màu sắc nịn mắt, bút Spen nhiều tính năng hay ho thì anh có thể chọn Samsung Galaxy Note 9, Nếu anh thích màu sắc trung thực, hiệu năng cao và ổn định trong thời gian dài cũng như công nghệ bảo mật Face ID của Apple thì anh có thể chọn iPhone Xr Thông tin đến anh."
41,Sao minh đặt hàng nhưng không thấy tgdt phản hồi là có hàng hay ntn? Minh không hiểu số đt đặt hàng xxxx863535,Chào anh  Bên em đã nhận thông tin của anh sẽ liên hệ đến anh trước 9h sáng mai . Thông tin đến anh 
42,cho em hỏi là nếu em đến cửa hàng mua và không có trả góp thì giá của sản phẩm là 17.990.000 đúng không ạ,"Chào anh, Dạ trường hợp này anh có thể đến trực tiếp siêu thị có hàng và mua sản phẩm anh nha. Thông tin đến anh."
43,Ad có thể check hàng màu đỏ đã về CH 1273 đường 3/2 chưa nhỉ? mình có đặt hàng về đây,Chào anh Dạ anh đã đặt hàng thì anh có thể cho em số điện thoại đặt hàng để bên em kiểm tra giúp anh anh nha Mong nhận được phản hồi từ anh.
44,em có thể đặt trước ròi để lại cửa hàng khi nào có tiền rồi lấy được không ạ,Chào anh Dạ hiện tại bên em chỉ hỗ trợ đặt giữ sản phẩm cho anh tại siêu thị trong vòng 72h thôi anh nhé. Thông tin đến anh
45,Em có thể đặt mua màu đen trước rồi để lại cửa hàng mốt lấy được kh ạ,Chào anh Dạ trường hợp này anh có thể đặt giữ sản phẩm tại siêu thị trong vòng 72h anh nhé. Thông tin đến anh
46,Sản phẩm này sale đến khi nào ạ,"Chào anh Tuấn Hiện em chưa rõ thông tin ngày kết thúc khuyến mãi cho Điện thoại iPhone Xr 64GB, do đó thì anh nên tham khảo chọn mua máy càng sớm càng tốt anh nhé. Thông tin đến anh."
47,"ở tp.hcm màu đỏ khan hiếm quá, hết hàng ở tất cả các hệ thống","Chào anh, Hiện tại sản phẩm này màu đỏ có hàng tại siêu thị : Điện Máy Xanh B5/19N Trần Đại Nghĩa, Ấp 2, Xã Tân Kiên, Huyện Bình Chánh, Thành phố Hồ Chí Minh đó ạ. Nếu anh quan tâm anh vui lòng cho em xin số điện thoại để bên em đặt mua giúp anh ạ. Mong nhận phản hồi từ anh."
48,Chương trình giảm 2tr khi nào kết thúc vậy ad,"Chào anh,  dạ hiện tạ bên em chưa có thông tin chính xác anh nha. Anh có thể đăng kí nhận thông tin khi hàng về anh nhé.  Thông tin đến anh."
49,XR và 8p 64g thì chọn con nào nhỉ....mjh ghét tai thỏ,"Chào anh, Dạ trường hợp này thì anh vui lòng chọn sản phẩm iPhone 8 plus anh nhé, anh không thích tai thỏ thì sản phẩm iPhone 8 plus này mình sử dụng sẽ mang lại cảm giác thoải mái hơn đó anh Thân gửi đến anh."
50,Đổi máy lên đời có áp dụng giảm 2tr không shop,"Chào anh !  Dạ chương trình thu cũ đổi mới bên em vẫn án dụng khuyến mãi Giảm ngay 2 triệu anh nha, anh có thể yên tâm ạ. Thông tin đến anh !"
51,Đến trực tiếp cửa hàng mua thì giá vẫn là 17tr990 đúng không ạ. Giảm 2 triệu đến khi nào hết ạ,Chào anh Dạ ra siêu thị mua hàng vẫn có giá 17.990.000₫ và chưa có thông tin ngày kết thúc ạ. Nếu anh quan tâm đến sản phẩm thì anh có thể cung cấp cho em thông tin khu vực anh đang sống để em kiểm tra hàng giúp anh được không ạ?  Mong nhận được phản hồi từ anh.
52,Loa của XR và X thì loa nào to hơn vậy ạ?,Chào anh  Dạ trường hợp này xét về âm lượng thì em đánh giá thiết bị Iphone XR có âm lượng cho ra to hơn anh nhé. Xin thông tin đến anh.
53,"Mình muốn đặt trước ip Xr 64gb màu trắng tại 531 Phạm Văn Đồng, P Ba Hàng, TX Phổ Yên, (Cạnh Trung tâm Văn Hóa - Ngã 4 TX phổ yên. Sau 2 đến 7 ngày hàng về có còn được ưu đãi giảm 2tr k ad",Dạ em chào chị. Da vẫn được chị nha tuy nhiên với khuyễn mãi Giảm ngay 2 triệu (đã trừ vào giá) thì mình không áp dụng cho trả góp lãi suất 0% chị nha. Thông tin đến chị.
54,"8plus và XR có ưu đãi trả góp %, trả trước 0đ ko QTV?","Dạ chào anh,  Dạ rất tiếc Điện thoại iPhone 8 Plus 64GB và Điện thoại iPhone Xr 64GB không hỗ trợ gói trả góp với mức trả trước 0đ cùng với lãi suất 0% anh nha. Anh chỉ được 1 trong 2 gói trả góp để tham gia làm hồ sơ thôi đó ạ Thông tin đến anh!"
55,Em mún mua trả góp bằng cmnd và sổ khẩu bản gốc nhưng mà hổ khẩu em tại đà nẵng có thể mua trả góp đc hông ạ,"Dạ chào anh,  Dạ anh ơi, Sổ hộ khẩu thì ở khu vực nào mình cũng làm hồ sơ được ạ nhưng mình phải dùng giấy tờ có sẵn luôn thì mới được anh nha. Nếu được anh cho em xin thông tin mức trả trước và số tháng anh muốn góp sản phẩm bên em sẽ hỗ trợ tư vấn giúp anh Mong phản hồi từ anh!"
56,"Cho em hỏi, Xr có trưng bày tại cửa hàng TGDĐ không admin ạ?","Chào anh, Dạ sản phẩm còn hàng tại một số siêu thị đó ạ, anh có thể vui lòng cung cấp thông tin khu vực cụ thể để bên em kiểm tra giúp anh nha Mong nhận phản hồi từ anh."
57,Ad ơi sao mình đăng kí 3g mạng viettel thành công mà khi mình bật mạng di động ở đt r vào các ứng dụng nó đều báo là ko có kết nối mạng vậy ạ,Chào chị ! Dạ với trường hợp này chị vui lòng thử tắt nguồn sau đó khởi động lại và kiểm tra lại mạng xem tình trạng trên còn diễn ra không chị nhé.  Thông tin đến chị.
58,Trả góp có giá như vậy không ad,"Dạ chào anh,  Dạ trả góp có hỗ trợ giảm giá 2 triệu tuy nhiên không áp dụng cho mua trả góp với lãi suất 0% anh nha, chỉ áp dụng với lãi suất thường thôi đó ạ. Anh vui lòng cho em xin thông tin giấy tờ anh hiện có, mức trả trước và số tháng anh muốn góp sản phẩm bên em sẽ hỗ trợ tư vấn giúp anh nha Mong phản hồi từ anh!"
59,Minh khong dac hang tren mang. Minh ra the gioi di dong mua có duoc khuyen mải giảm 2.000.000 như tren o.,"Chào anh ! Dạ khuyến mãi giảm ngay 2 triệu (không áp dụng trả góp 0%) có áp dụng mua tại siêu thị ạ. Để mua hàng được thuận tiện hơn và nhanh nhất anh có thể nói cho em biết anh đang ở quận huyện, tỉnh nào để em kiểm tra xem còn hàng không anh nha.  Mong nhận được phản hồi từ anh."
60,Chừng nào mới hết giá 17.999 vậy ad,Chào anh ! Dạ khuyến mãi có thể kết thúc bất cứ lúc nào nên anh hãy mua sản phẩm sớm để có khuyến mãi ạ. Thông tin đến anh.
61,Cho em hỏi xr có thể sử dụng live photo làm màng hình khoá dc k ạ ?,Chào chị !  Dạ trường hợp này trên iPhone XR có hỗ trợ tính năng live photo làm màn hình khóa chị nha Thông tin đến chị.
62,64g giá 17.990.000 mua online sinh nhật tháng 6 được giảm thêm 600 à.,"Chào anh, Điện thoại iPhone Xr 64GB giá 17.990.000₫ sẽ được Giảm thêm 3% (600.000₫) nếu anh mua online có sinh nhật trong tháng 6. Anh vào ô MUA NGAY màu cam làm theo hướng dẫn để đặt hàng nhé.  Thông tin đến anh ạ."
63,"Mình đã mua 1 cái iphone xr nhưng thấy loa kép mà khi nghe thì chỉ nghe 1 bên , bên còn lại không nghe . cho mình hỏi nếu như vậy thì nó có bị gì không ?(mình mới mua được 1 thắng)","Chào anh, Dạ trường hợp này thì 1 bên phải là loa ,bên trái là thiết kế giả loa ạ nó là mic thoại và không phải lỗi đâu anh nhé. Xin thông tin đến anh !"
64,Muốn mua máy nhưng hiện tại máy đang không có ở nơi mình sinh sống Liệu rằng bây giờ mình đặt máy thì ngày 5/6 hoặc 6/6 có hàng cho mình không và lúc nhận máy có đc thanh toán với mức giá khuyến mãi 17990000đ không ạ Mình đang ở khu Lộc Bình -Lạng Sơn Mong sớm nhận được phản hồi,"Chào anh, Nếu anh quan tâm đến sản phẩm, vui lòng để lại họ tên và số điện thoại để bên em hỗ trợ chuyển hàng đến siêu thị gần khu vực của anh từ 3-5 ngày (trừ thứ bảy và chủ nhật) cho anh nhé. Hàng về sớm thì bên em sẽ báo sớm cho anh, không chắc chắn đúng ngày 6/6 có hàng được ạ. Thông tin đến anh ạ."
65,Xr voi 8 plus nên mua máy nào. Nhan xet chung chu khỏi phân tích nhìu,"Chào anh,  iPhone Xr và iPhone 8 Plus đều hỗ trợ anh rất tốt nhu cầu giải trí hàng ngày như lướt web, chơi game, chụp hình,…đến các nhu cầu nâng cao. Vì 2 máy đều thuộc phân khúc cao cấp của hãng. iPhone Xr  ra sau nên có phần nhỉnh hơn về thiết kế, cấu hình, các chức năng thông minh khác,.... Tuy nhiên đây chỉ là thông tin tham khảo, anh nên ra Thegioididong.com có hàng xem thử máy để cho đánh giá chính xác hơn ạ. Iphone thì anh phải thanh toán xong rồi mới được xem máy ạ. Thông tin đến anh ạ."
66,Trả góp thế nào ạ,"Chào chị, Hiện công ty tài chính HOME Credit hỗ trợ trả trước 9.995.000₫ (50%), góp mỗi tháng 1.309.500₫, số tháng góp là 8 tháng, lãi suất 0% với điều kiện đủ 20-60 tuổi có CMND và hộ khẩu (hoặc GPLX). Nếu chị  đồng ý với gói trả góp này có thể cho em xin thông tin số điện thoại để bên em tư vấn hỗ trợ chị  được không ạ? Mong nhận được phản hồi từ chị ."
67,Dung lượng pin xr sài tầm mấy tiếng chơi game liên tục vậy..,Chào anh ! Dạ còn tùy thuộc vào tác vụ game nặng hay nhẹ nữa ạ nên em không thể nào cung cấp thông tin chính xác cho anh được mong anh thông cảm.  Thân chào anh!
68,Màn hình xr và 8 plus đều là LCD hết hả chat luog như nhau hay 8 plus màn hinh dep hon,Chào anh!  Xin lỗi vì đã khiến anh chờ lâu ạ. Dạ công nghệ màn hình của Iphone Xr là IPS LCD còn Iphone 8 plus là LED-backlit IPS LCD ạ. Theo đánh giá cá nhân của em thì màn hình của Iphone 8 plus cho màu sắc tốt hơn và góc nhìn rộng hơn Iphone Xr anh nhé! Xin thông tin đến anh ạ!
69,Iphone xr màu đỏ ở hà nội còn k ạ,"Chào chị ! Dạ em kiểm tra sản phẩm này đang tạm hết hàng ở khu vực này nha chị, nếu được thì chị có thể để lại thông tin số điện thoại, địa chỉ, bên em sẽ hỗ trợ đặt hàng cho chị và mình nhận hàng sau 2 đến 7 ngày nha chị. Mong nhận được phản hồi từ chị."
70,Ip xr co dung 2sim khong vay,Chào anh. Dạ iPhone XR và các sản phẩm iPhone bên em đang kinh doanh đều 1 sim hết ạ Thông tin đến anh
71,Iphone xr co dung duoc 2sim khong vay,Chào anh! Dạ với trường hợp này sản phẩm trên hỗ trợ một nano sim và một esim trên máy anh nhé. Thân chào anh !
72,"cho mình hỏi cách chụp xóa phông trên XR,mình chụp hoài mà ko xóa phông được",Chào anh ! Để chụp xóa phông trên iphone XR anh Chuyển sang chế độ chụp chân dung > Lấy nét vào chủ thể > Điều chỉnh khoảng cách từ camera ra xa hoặc lại gần chủ thể > Khi đã có được hiệu ứng xóa phông thì bấm chụp > Chụp xong có thể điều chỉnh độ mờ hậu cảnh. Chúc anh chụp được những bức ảnh ưng ý anh nha ! Chia sẻ cùng anh !
73,e sim là sao ạ,Chào anh! Dạ anh có thể xem tại đây để giúp anh hiểu rõ thêm về esim có sẵn trên iphone xs hay xr anh nhé. Thông tin đến anh!
74,"Ip xr mình mới mua 3 ngày. sạc pin 2 lần, lần nào cũng gần 4 tiếng mới đầy. Còn tệ hơn samsung nữa","Chào anh  Dạ trường hợp này anh vui lòng kiểm tra lại trên máy có mở các ứng dụng chạy ngầm và có sử dụng sạc chính hãng kèm máy không ạ, các ứng dụng chạy ngầm và nguồn điện không ổn định sẽ làm thời gian sạc kéo dài thêm anh nhé. Xin thông tin đến anh."
75,Đặt online ngày 1/6/2019 đến ngày 30/6/2019 lấy được ko ạ,"Chào anh, Bên em không giữ máy đến cuối tháng cho anh được ạ, chỉ giữ máy trong vòng 72h kể từ khi đặt hàng thôi ạ. Mong anh thông cảm ạ.  Thông tin đến anh ạ."
76,Có chi nhánh ở tích sơn ko ạ,"Chào anh, Điện thoại iPhone Xr 64GB hiện không có hàng ở P. Tích Sơn, TP. Vĩnh Yên, Vĩnh Phúc. Nếu anh quan tâm đến sản phẩm, vui lòng để lại họ tên và số điện thoại để bên em hỗ trợ chuyển hàng đến siêu thị gần khu vực của anh từ 3-5 ngày (trừ thứ bảy và chủ nhật) cho anh nhé.  Thông tin đến anh ạ."
77,Minh dang sai iPhone XR minh lay sạc du phong sạc pin cho ip co anh huong gi toi pin khong vay qtv ?,Chào anh! Dạ không rõ anh sử dụng sạc dự phòng nào để sạc cho máy ạ? Mong phản hồi từ anh.
78,mấy này 2 sim hả shop,"Chào anh, Dạ sản phẩm này hỗ trợ 1 Nano SIM và 1 eSIM ( chỉ có một khe sim vật lý  ) nha anh. Nếu anh quan tâm này, anh có thể phản hồi thông tin khu vực anh đang ở tại ô bình luận, bên em sẽ hỗ trợ kiểm tra hàng giúp anh, anh nhé.  Mong phản hồi từ anh! "
79,Cho em hỏi khi mua trả góp và mua apple watch thì có giảm 1 triệu không ạ,Chào anh  Hiện ý của anh muốn mua trả góp IPhone Xr cùng với Apple Watch trên 1 hợp đồng trả góp đúng không ạ? Mong nhận phản hồi từ anh.
80,Cài đặt để hiện thị phần trăm pin ở đâu vậy ad,"Chào chị! Dạ với trường hợp này chị vui lòng vuốt tai thỏ bên phải xuống để kiểm tra pin, không có phần bật phần trăm pin do vướng tai thỏ chị nha.  Thân chào chị !"
